الكلية,الدرجة الأكاديمية,اسم البرنامج الأكاديمي,لغة التدريس,عدد الساعات المعتمدة,سعر الساعة (ر.ق),إجمالي الرسوم التقديرية (ر.ق),الشراكة الدولية / الاعتماد,مجالات العمل المستهدفة
كلية تكنولوجيا المعلومات,بكالوريوس,الذكاء الاصطناعي (Artificial Intelligence),الإنجليزية,126,"1,500","189,000",وزارة التربية والتعليم العالي,مهندس ذكاء اصطناعي، عالم بيانات، مطور تعلم آلي
كلية تكنولوجيا المعلومات,بكالوريوس,الأمن السيبراني (Cybersecurity),الإنجليزية,126,"1,500","189,000",وزارة التربية والتعليم العالي,محلل أمن سيبراني، خبير استجابة للحوادث، مهندس أمن شبكات
كلية تكنولوجيا المعلومات,بكالوريوس,علوم البيانات (Data Science),الإنجليزية,126,"1,500","189,000",وزارة التربية والتعليم العالي,محلل بيانات ضخمة، مهندس ذكاء أعمال، استشاري تنقيب بيانات
كلية تكنولوجيا المعلومات,بكالوريوس,تقنية المعلومات (Information Technology),الإنجليزية,126,"1,500","189,000",وزارة التربية والتعليم العالي,مدير أنظمة وشبكات، مطور برمجيات، مهندس بنية تحتية سحابية
كلية القانون,بكالوريوس,القانون العام (Public Law),العربية,128,"1,500","192,000",وزارة التربية والتعليم العالي,محامٍ، مستشار قانوني حكومي، باحث قانوني، عضو نيابة
كلية القانون,بكالوريوس,القانون الخاص (Private Law),العربية,128,"1,500","192,000",وزارة التربية والتعليم العالي,مستشار عقود وشركات، محكم تجاري، خبير حقوق ملكية فكرية
كلية القانون,بكالوريوس,القانون الدولي والمقارن (International Law),الإنجليزية / الفرنسية,128,"1,800","230,400",جامعة السوربون (Sorbonne Paris 1),دبلوماسي، محكم دولي، خبير منظمات وهيئات دولية
كلية القانون,ماجستير,ماجستير القانون الدولي الجنائي وحقوق الإنسان,العربية / الإنجليزية,36,"2,200","79,200",معهد الأمم المتحدة (UNITAR),قاضٍ، مستشار دولي، رئيس قطاع شؤون قانونية
كلية القانون,ماجستير,ماجستير القانون التجاري والتحكيم الدولي,العربية / الإنجليزية,36,"2,200","79,200",جامعة السوربون (Sorbonne),محكم معتمد، مستشار استثمارات كبرى، مدير إدارة الامتثال
كلية التجارة والأعمال,بكالوريوس,إدارة الأعمال (Business Administration),العربية / الإنجليزية,126,"1,500","189,000",وزارة التربية والتعليم العالي,مدير تنفيذي، مدير عمليات، مستشار إداري، رائد أعمال
كلية التجارة والأعمال,بكالوريوس,المحاسبة والمالية (Accounting & Finance),العربية / الإنجليزية,126,"1,500","189,000",وزارة التربية والتعليم العالي,محاسب قانوني، محلل مالي، مدقق حسابات، مدير مالي
كلية التجارة والأعمال,بكالوريوس,التسويق الرقمي والتجارة الإلكترونية,العربية / الإنجليزية,126,"1,500","189,000",وزارة التربية والتعليم العالي,مدير تسويق رقمي، خبير نمو واستحواذ، مدير منصات تجارة
كلية التجارة والأعمال,بكالوريوس,إدارة سلاسل الإمداد والخدمات اللوجستية,العربية / الإنجليزية,126,"1,500","189,000",وزارة التربية والتعليم العالي,مدير سلاسل إمداد، خبير لوجستيات موانئ ومطارات، مدير مشتريات
كلية التجارة والأعمال,بكالوريوس,إدارة الأعمال الدولية (International Business),الإنجليزية,126,"1,800","226,800",جامعة ساسكس البريطانية (Sussex),مدير تطوير أعمال دولي، خبير تجارة دولية، استشاري استثمار
كلية التجارة والأعمال,ماجستير,ماجستير إدارة الأعمال التنفيذي (EMBA),الإنجليزية,36,"2,200","79,200",جامعة ساسكس البريطانية (Sussex),رئيس تنفيذي، عضو مجلس إدارة، مدير قطاع استراتيجي
كلية التجارة والأعمال,ماجستير,ماجستير التكنولوجيا المالية (FinTech),الإنجليزية,36,"2,200","79,200",وزارة التربية والتعليم العالي,قائد ابتكار مالي، خبير بلوكتشين ومدفوعات، محلل مخاطر
كلية التربية والآداب,بكالوريوس,تدريس اللغة الإنجليزية (Teaching English - TESOL),الإنجليزية,126,"1,500","189,000",وزارة التربية والتعليم العالي,معلم لغة إنجليزية معتمد، مطور مناهج لغوية، مدرب لغوي
كلية التربية والآداب,بكالوريوس,اللغة العربية والإعلام الرقمي,العربية,126,"1,500","189,000",وزارة التربية والتعليم العالي,محرر ومذيع إخباري، كاتب محتوى إعلامي، أخصائي علاقات عامة
كلية التربية والآداب,بكالوريوس,العلوم التربوية والقيادة المدرسية,العربية,126,"1,500","189,000",وزارة التربية والتعليم العالي,مشرف تربوي، مدير مدرسة، مستشار تخطيط تعليمي
كلية التربية والآداب,بكالوريوس,الإرشاد والصحة النفسية المدرسية,العربية,126,"1,500","189,000",وزارة التربية والتعليم العالي,أخصائي إرشاد وتوجيه نفسي، مستشار سلوكي، باحث تربوي
كلية التربية والآداب,ماجستير,ماجستير القيادة والابتكار التعليمي,العربية / الإنجليزية,36,"2,000","72,000",وزارة التربية والتعليم العالي,قائد تربوي استراتيجي، مطور سياسات تعليمية، باحث أكاديمي
